tce_period,tce_duration,tce_depth,tce_model_snr,tce_bin_oedp_stat,tce_impact,tce_prad,av_training_set
1.52333,4.571,157200.0,511.3,2.886,0.001521,33.87,AFP
45.5829,3.38,84.91,10.38,0.001231,0.1798,2.541,AFP
15.9266,11.11,175100.0,4608.0,0.108,0.9019,57.75,AFP
15.9265,1.5,13470.0,-1.0,0.0,0.1,10.51,AFP
0.889755,1.576,52.97,5.892,0.2351,0.5,0.7418,UNK
1.99044,2.972,147.0,24.89,0.6558,0.2153,1.23,AFP
1.89129,4.669,27.7,19.39,0.3019,0.1346,1.835,AFP
1.89128,4.5,21340.0,-1.0,0.0,0.1,70.29,UNK
0.630414,1.31,130.7,6.361,0.0,0.9,6.095,UNK
1.89117,4.412,36.97,11.27,3.191,0.9013,0.4676,AFP
18.8274,4.622,993.0,27.73,0.7356,0.2119,2.693,PC
8.83242,2.132,68.28,8.081,3.949,0.07399,0.9383,UNK
13.2226,4.037,268.3,11.48,0.06596,0.9304,1.719,PC
2.3922,7.486,28.84,6.56,0.09871,0.9003,0.8895,NTP
1.10611,3.564,42.53,12.16,0.1847,0.2552,0.9428,NTP
0.578045,2.193,13.48,13.59,0.00711,0.858,0.64,UNK
11.8233,8.043,207.2,12.38,1.055,0.6652,1.225,PC
90.1249,12.54,3385.0,50.14,0.1164,0.7885,7.687,PC
459.269,2.881,1084.0,5.081,0.0,0.6154,2.546,NTP
4.98775,1.771,333.3,10.31,0.2812,0.2599,0.7314,UNK
255.92,11.34,331.3,8.474,0.0,0.6385,1.951,UNK
0.65781,2.024,1.722,2.03,1.166e-06,0.9079,0.503,UNK
1.41664,4.194,80.78,9.637,0.1652,0.9307,2.203,AFP
1.41676,4.581,88.69,11.31,1.904e-08,0.705,2.071,AFP
4.29894,2.235,251.7,20.31,2.574,0.9271,1.809,PC
9.31395,0.9989,194.8,7.997,0.003512,0.3,1.378,NTP
4.53703,1.767,466.8,15.88,1.396,0.8643,1.823,PC
0.977284,1.54,207.4,13.82,0.2102,0.2993,1.007,PC
21.8536,3.496,377.1,22.2,0.1895,0.9048,2.026,PC
1.38581,5.25,5.712,9.609,2.687,0.7,0.9131,AFP
2.53663,6.178,16.31,6.405,0.7347,0.8677,0.8533,UNK
3.29038,1.775,13870.0,220.3,0.0001151,0.4856,2.274,PC
1.35734,2.806,5.864,5.542,0.3118,0.9655,1.083,AFP
0.984451,2.927,5.858,9.431,0.001574,0.9012,0.9205,NTP
0.879166,1.999,58.3,6.682,5.778e-07,0.1017,1.547,UNK
0.768036,2.501,34.97,4.283,0.0001968,0.5001,1.222,AFP
1.61112,6.008,121.9,9.762,0.009413,0.113,0.5493,NTP
4.16026,12.33,250.8,10.62,1.314,0.2993,0.7957,NTP
